temperature,city,pression,date
279.27,Paris,1008,2022-11-18 22:43
282.07,London,1007,2022-11-18 22:43
272.97,Washington,1036,2022-11-18 22:43
279.27,Paris,1008,2022-11-18 22:42
282.11,London,1007,2022-11-18 22:42
272.92,Washington,1036,2022-11-18 22:42
279.27,Paris,1008,2022-11-18 22:41
282.11,London,1007,2022-11-18 22:41
272.92,Washington,1036,2022-11-18 22:41
279.96,Paris,1009,2022-11-18 22:40
282.11,London,1007,2022-11-18 22:40
272.92,Washington,1036,2022-11-18 22:40
279.96,Paris,1009,2022-11-18 22:39
282.11,London,1007,2022-11-18 22:39
272.92,Washington,1036,2022-11-18 22:39
279.84,Paris,1009,2022-11-18 22:38
282.1,London,1007,2022-11-18 22:38
273.33,Washington,1036,2022-11-18 22:38
279.96,Paris,1009,2022-11-18 22:37
282.1,London,1007,2022-11-18 22:37
272.92,Washington,1036,2022-11-18 22:37
279.96,Paris,1009,2022-11-18 22:36
282.1,London,1007,2022-11-18 22:36
272.92,Washington,1036,2022-11-18 22:36
279.96,Paris,1009,2022-11-18 22:35
282.1,London,1007,2022-11-18 22:35
272.92,Washington,1036,2022-11-18 22:35
279.96,Paris,1009,2022-11-18 22:34
282.1,London,1007,2022-11-18 22:34
272.92,Washington,1036,2022-11-18 22:34
279.96,Paris,1009,2022-11-18 22:33
282.16,London,1007,2022-11-18 22:33
272.92,Washington,1036,2022-11-18 22:33
279.96,Paris,1009,2022-11-18 22:32
282.16,London,1007,2022-11-18 22:32
273.33,Washington,1036,2022-11-18 22:32
279.96,Paris,1009,2022-11-18 22:31
282.16,London,1007,2022-11-18 22:31
273.33,Washington,1036,2022-11-18 22:31
279.96,Paris,1009,2022-11-18 22:30
282.16,London,1007,2022-11-18 22:30
273.33,Washington,1036,2022-11-18 22:30
279.96,Paris,1009,2022-11-18 22:29
282.16,London,1007,2022-11-18 22:29
273.33,Washington,1036,2022-11-18 22:29
279.96,Paris,1008,2022-11-18 22:28
282.16,London,1007,2022-11-18 22:28
273.33,Washington,1036,2022-11-18 22:28
279.96,Paris,1008,2022-11-18 22:27
282.16,London,1007,2022-11-18 22:27
273.38,Washington,1036,2022-11-18 22:27
279.96,Paris,1008,2022-11-18 22:26
282.14,London,1007,2022-11-18 22:26
273.38,Washington,1036,2022-11-18 22:26
279.96,Paris,1008,2022-11-18 22:25
282.14,London,1007,2022-11-18 22:25
273.38,Washington,1036,2022-11-18 22:25
